Gate voltage (V),Capacitance (F),Dissipation (s^-1),Resonance frequency (Hz),Internal quality factor (1),Effective resistnce (Ohm)
-0.000700000000000145,3.3047047653649746e-18,12368.316523089716,368785268.38916004,3785.3757516647497,247471961.42952308
-0.0006900000000000794,2.5465757365718886e-18,-2296.319833143032,368785696.2171275,3878.2861921603535,-1332920399.5772705
-0.000680000000000125,5.8800516458793924e-18,3273.337242598772,368783815.07851064,3842.4664246280577,935073694.7349329
-0.0006700000000000594,5.9402424870735375e-18,-9266.309898492045,368783781.1120333,3924.0637306450885,-330316121.85216516
-0.000660000000000105,4.432454212386586e-18,9463.890995451107,368784631.9794634,3803.4220499765433,323419991.9484868
-0.0006500000000001505,-5.171010404062305e-18,13304.077202218119,368790051.4961146,3779.5979349345243,230065678.59061167
-0.0006400000000000849,-2.5758244337328607e-18,-4755.227327550701,368788586.93302286,3894.3133794696105,-643673023.120574
-0.0006300000000001305,3.5893304258419546e-18,-2412.2003517862518,368785107.76936877,3879.0385401243857,-1268887780.1064553
-0.0006200000000000649,4.211996686757927e-18,16551.36385676929,368784756.38742936,3759.6837782204807,184928056.44522977
-0.0006100000000001105,3.9247963486218096e-18,6253.440672183211,368784918.459699,3823.571073914062,489460396.2847821
-0.0006000000000000449,6.204155141620277e-18,-9064.811821829127,368783632.1827886,3922.725166431205,-337658586.82023776
-0.0005900000000000905,5.033360464572209e-18,35285.69544093993,368784292.8783897,3648.7712686746518,86743693.47979183
-0.000580000000000136,3.9263177678264806e-18,-5749.99388384734,368784917.6011344,3900.8349774281114,-532315618.3084859
-0.0005700000000000705,8.852427834581245e-18,5224.462383264089,368782137.73904413,3830.074271446188,585861534.6442462
-0.000560000000000116,9.3506079195844e-18,10951.062177902026,368781856.6136385,3794.1602473455473,279499056.7879852
-0.0005500000000000504,6.4408466533365025e-18,-301.3547257984241,368783498.6149321,3865.379597252866,-10156839390.660585
-0.000540000000000096,6.740152646299934e-18,5874.870614811087,368783329.71318126,3825.961087381416,521000673.9269509
-0.0005300000000001415,7.534501855454812e-18,4676.301794126363,368782881.4540801,3833.5477150198335,654536786.6108828
-0.000520000000000076,7.704101434210419e-18,-15971.75225842203,368782785.7475751,3969.135413399428,-191639057.50768045
-0.0005100000000001215,9.682861108105093e-18,-14318.536347239391,368781669.1219319,3957.927167211799,-213765672.3649911
-0.000500000000000056,1.2073279035087841e-17,-3417.6771223227547,368780320.20865935,3885.5788184485227,-895582420.4569545
-0.0004900000000001015,7.037586139443957e-18,-3378.1686455234103,368783161.86833316,3885.3214132390285,-906056467.4905174
-0.000480000000000147,1.0526728500132048e-17,4081.7066958203927,368781192.9257182,3837.3225230630105,749885226.364847
-0.00047000000000008146,9.168236875583492e-18,18254.468723259204,368781959.52641666,3749.3230580914587,167674644.272183
-0.000460000000000127,1.0691338752826624e-17,-84.33980315506602,368781100.0360078,3863.980779688309,-36291423919.02612
-0.00045000000000006146,1.3158134450339018e-17,30929.12200830292,368779708.0294336,3673.9754327026985,98962122.12970342
-0.00044000000000010697,9.682270785894963e-18,7326.540676829307,368781669.4550527,3816.8125078688577,417770361.833962
-0.0004300000000001525,1.1157668218606525e-17,-14557.50152657556,368780836.8862612,3959.543355274158,-210256653.17379254
-0.00042000000000008697,1.5248634995497823e-17,-7093.463350869342,368778528.37760174,3909.6773879235216,-431497478.4743294
-0.0004100000000001325,1.1159942863711004e-17,18594.899792919998,368780835.6026802,3747.2589134587724,164604896.1616663
-0.00040000000000006697,6.385599240231195e-18,13774.411968293482,368783529.7916964,3776.700527266835,222209961.23795888
-0.0003900000000001125,1.9778343486306085e-17,8188.799862113646,368775972.3401309,3811.3991410188005,373780236.5535075
-0.00038000000000004697,1.4232014316689343e-17,-5419.404739263129,368779102.0466653,3898.665243478576,-564787406.885274
-0.0003700000000000925,2.2798880283141605e-17,-122.92290107923048,368774267.9321192,3864.229401555883,-24900254734.273643
-0.000360000000000138,2.1846869490888027e-17,2853.1551410909788,368774805.12376,3845.1456225229567,1072781323.8995048
-0.0003500000000000725,2.1595142327476793e-17,4630.626220369924,368774947.166374,3833.837424661077,660993006.9686462
-0.000340000000000118,1.93794283746965e-17,1948.187073799499,368776197.4390104,3850.928658460347,1571107616.2624087
-0.0003300000000000525,2.913690801778195e-17,-10195.044320848114,368770691.6296457,3930.245198448438,-300225428.47519016
-0.000320000000000098,2.3797184496365783e-17,-12087.37065740036,368773704.62098646,3942.900598529028,-253223933.99727893
-0.00031000000000003247,3.0706968741701985e-17,1471.5618019480423,368769805.7215411,3853.9814456436216,2079974857.663776
-0.000300000000000189,2.8335623248712995e-17,-151.17564394975403,368771143.75772184,3864.411476947183,-20246724072.611534
-0.0002900000000001235,3.484445983857024e-17,-618.2181834065713,368767471.16923714,3867.423830498637,-4951021551.458901
-0.000280000000000058,3.7672509340988775e-17,-10159.37540589433,368765875.48630255,3930.0074337976466,-301279500.68409973
-0.00026999999999999247,3.389801508533619e-17,-2610.2761087196313,368768005.190591,3880.3252123181983,-1172600683.6309202
-0.000260000000000149,3.534628245974793e-17,15472.6633774489,368767188.0221185,3766.275648672617,197820599.78188726
-0.0002500000000000835,4.012929025952839e-17,31044.897947904243,368764489.30270374,3673.3011291222992,98593062.04473487
-0.00024000000000001798,4.5481302947739566e-17,58132.42530194464,368761469.60355335,3522.0609664991325,52652397.24047426
-0.0002300000000001745,4.176504847356834e-17,39107.65536130359,368763566.371443,3626.9430710028537,78266301.60443729
-0.000220000000000109,4.016933091506459e-17,53509.31294996524,368764466.7107903,3546.9859660128577,57201473.55306623
-0.00021000000000004349,3.9692866279484994e-17,35006.503524565356,368764735.54401636,3650.376107651871,87435511.73005041
-0.00020000000000020002,4.109065639943207e-17,42095.73362838222,368763946.8776502,3610.0584501672993,72710730.65434082
-0.0001900000000001345,4.227856687900498e-17,70298.50897793926,368763276.63433665,3458.112352119165,43540205.817319736
-0.000180000000000069,4.3416787177522744e-17,76318.8166513257,368762634.4306649,3427.3190198451484,40105594.97448661
-0.00017000000000000348,4.0319119861512306e-17,49952.40716820004,368764382.1962538,3566.4040667181025,61274555.583353534
-0.00016000000000016001,4.258585243171001e-17,29607.02272161347,368763103.2581574,3681.6932107850453,103381267.96233922
-0.0001500000000000945,4.5050439178535604e-17,23729.161128313648,368761712.7016809,3716.4015598870083,128989454.49436994
-0.000140000000000029,4.2650758620681316e-17,33404.472312271,368763066.6369191,3659.6121948341456,91628795.11872439
-0.00013000000000018552,2.3884112029220783e-17,26050.986521152947,368773655.5706826,3702.6134436764964,117493114.78338258
-0.00012000000000012001,2.806799582206174e-17,19192.407298582366,368771294.7679183,3743.6415204662353,159480335.21444997
-0.0001100000000000545,2.601523465135153e-17,28483.727730711984,368772453.05547655,3688.275988668476,107458250.49612148
-9.999999999998899e-05,1.472535341192537e-19,10869.138409451385,368787050.2143255,3794.669277948913,281605720.1818874
-9.000000000014552e-05,3.709400174099555e-18,10525.575270341391,368785040.0117395,3796.805484353495,290797554.6167836
-8.000000000008001e-05,2.8382118378110156e-18,4541.762353997662,368785531.6406382,3834.4011931784444,673925958.9080164
-7.00000000000145e-05,5.865136933957514e-18,11752.989832273126,368783823.4950787,3789.1846983657233,260428332.98003688
-6.000000000017103e-05,5.874109585871182e-18,1841.7129086972748,368783818.43169314,3851.6102064112565,1661937392.682644
-5.0000000000105516e-05,1.0923684879908465e-18,1396.599620051679,368786516.8606686,3854.462019321929,2191617057.318873
-4.0000000000040004e-05,1.5021887277844197e-18,-13055.831171254345,368786285.588861,3949.4089984239404,-234440190.70109504
-3.0000000000196536e-05,1.0196391331107234e-18,1522.480825560177,368786557.9037074,3853.655078148341,2010410573.4297633
-2.0000000000131024e-05,2.168481535603808e-18,160.474850704076,368785909.5840997,3862.40398758886,19073465631.041245
-1.0000000000065512e-05,4.09184742323959e-18,2019.837721967858,368784824.18977416,3850.4701538266067,1515374980.9999762
0.0,-1.1921977476000922e-18,-9586.715527476616,368787806.1064872,3926.194087339802,-319276350.7770284
9.999999999843467e-06,1.3827030114484437e-18,21408.663023729943,368786353.01759315,3730.284780060753,142970700.51303488
1.999999999990898e-05,6.865307326470823e-18,-2440.031712135912,368783259.08705115,3879.2192771910345,-1254414659.5828311
2.999999999997449e-05,-1.0969257461745763e-18,-3309.4043893566577,368787752.34151214,3884.873482411869,-924882906.2395936
3.999999999981796e-05,6.0573554003804624e-18,15560.68941543921,368783715.0237147,3765.7368610654057,196701538.59078193
4.999999999988347e-05,1.2848904281185606e-18,21165.15796140799,368786408.21567017,3731.7476530537087,144615577.88187462
5.999999999994898e-05,2.0346027190896639e-19,395.28639225503605,368787018.4952947,3860.89283174627,7743275785.662006
6.999999999979245e-05,4.152405170835165e-18,7302.231773805482,368784790.01596636,3816.965344964404,419161106.4072055
7.999999999985796e-05,-2.4416198858729295e-18,-5102.475882716141,368788511.19671786,3896.587430156296,-599867911.1680216
8.999999999992347e-05,4.084041413200058e-19,6411.498960879744,368786902.83981884,3822.5740932711906,477394064.66817856
9.999999999998899e-05,2.5380730868748353e-18,-12576.50561869957,368785701.0153579,3946.1850765124404,-243375357.38060558
0.00010999999999983245,7.512837497661698e-18,832.1973415802638,368782893.6794694,3858.0841874120592,3677987655.834599
0.00011999999999989797,1.2241190044832701e-18,643.4356890511322,368786442.5105107,3859.297123891839,4756981313.9586315
0.00012999999999996348,2.3975356279883525e-18,-993.8605185679991,368785780.3237335,3869.850076384313,-3079719429.8051906
0.00013999999999980695,2.251771173411727e-18,5648.906960609365,368785862.5818716,3827.3890805266146,541841381.1545537
0.00014999999999987246,4.030184667207347e-18,3074.5726461992044,368784858.9871676,3843.733337457764,995524224.5890838
0.00015999999999993797,5.182701044594745e-18,8815.685655698982,368784208.6032409,3807.4731068460073,347200622.7412918
0.00017000000000000348,2.8651442440247256e-17,53001.8750387469,368770965.5553048,3549.7432639490517,57749118.258789554
